Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,08/09/2016,Consumables,JRS,PG Events Ltd,95310880,1620,GBP
BIS,EPSRC,08/09/2016,Telecoms - Tele/ Video conferencing,EPSRC Corporate Services,InterCall Conferencing Services Ltd,95312831,343.14,GBP
BIS,EPSRC,08/09/2016,Consumables,JRS,Antalis Ltd t/a Antalis Document Supplies,95315790,120.1,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95310857,160,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95310862,160,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,OSG Operational Projects,Non Employee Expenses Supplier,95317419,32.6,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,OSG Operational Projects,Non Employee Expenses Supplier,95317420,299.3,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,95317421,244,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,95317422,81.59,GBP
BIS,EPSRC,09/09/2016,T&S UK - Subsistence,Chief Executive,Non Employee Expenses Supplier,95317423,284.73,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317424,134.7,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317425,378.02,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317426,148.9,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317427,13.3,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317428,72.2,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317429,21.8,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317430,128.6,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317431,197.39,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317432,329.42,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Programme Delivery Energy,Non Employee Expenses Supplier,95317433,858.49,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317434,253.48,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Programme Delivery Maths,Non Employee Expenses Supplier,95317435,528.95,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317436,189.7,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317437,153.4,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317438,45.5,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317439,202.15,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317440,125,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317441,152.76,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317442,529.62,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95317443,225.93,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Programme Delivery ICT,Non Employee Expenses Supplier,95317444,160,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95317445,40.5,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Programme Delivery ICT,Non Employee Expenses Supplier,95317446,160,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317447,179.1,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317448,182.74,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317449,66.25,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317450,288,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95317451,46.07,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,RCUK-Newton Activity,Non Employee Expenses Supplier,95317452,622.3,GBP
BIS,EPSRC,09/09/2016,Non-staff travel and subsistance,RCUK-Newton Activity,Non Employee Expenses Supplier,95317453,5.05,GBP
BIS,EPSRC,09/09/2016,Fees (Including College Members),RCUK-Newton Activity,Non Employee Expenses Supplier,95317454,160,GBP
