Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,08/06/2016,T&S UK - Vehicle Hire,Programme Delivery Engineering,Enterprise Rent-A-Car UK Ltd,94566395,29.75,GBP
BIS,EPSRC,08/06/2016,T&S UK - Vehicle Hire,Admin Business Innovation Director,Enterprise Rent-A-Car UK Ltd,94573545,44.56,GBP
BIS,EPSRC,08/06/2016,T&S UK - Vehicle Hire,Programme Delivery Energy,Enterprise Rent-A-Car UK Ltd,94573545,7.96,GBP
BIS,EPSRC,08/06/2016,T&S UK - Vehicle Hire,Programme Delivery Energy,Enterprise Rent-A-Car UK Ltd,94573545,29.75,GBP
BIS,EPSRC,08/06/2016,T&S UK - Vehicle Hire,Programme Delivery Energy,Enterprise Rent-A-Car UK Ltd,94573545,39.79,GBP
BIS,EPSRC,08/06/2016,T&S UK - Vehicle Hire,RCUK Executive Director,Enterprise Rent-A-Car UK Ltd,94573545,44.56,GBP
BIS,EPSRC,08/06/2016,T&S UK - Vehicle Hire,Admin Business Innovation Director,Enterprise Rent-A-Car UK Ltd,94601148,29.75,GBP
BIS,EPSRC,08/06/2016,T&S UK - Vehicle Hire,Director BI/BR,Enterprise Rent-A-Car UK Ltd,94601148,427.68,GBP
BIS,EPSRC,08/06/2016,T&S UK - Vehicle Hire,Programme Delivery Infrastructure,Enterprise Rent-A-Car UK Ltd,94601148,35.75,GBP
BIS,EPSRC,08/06/2016,T&S UK - Vehicle Hire,Programme Delivery Manufacturing,Enterprise Rent-A-Car UK Ltd,94601148,47.75,GBP
BIS,EPSRC,08/06/2016,T&S UK - Vehicle Hire,Programme Delivery Physical Sciences,Enterprise Rent-A-Car UK Ltd,94601148,63.76,GBP
BIS,EPSRC,08/06/2016,T&S UK - Vehicle Hire,Research Careers and Diversity,Enterprise Rent-A-Car UK Ltd,94601148,32.1,GBP
BIS,EPSRC,08/06/2016,Marketing & PR,Communications and Stakeholder Engagement,Wex Photographic,94632219,1246.32,GBP
BIS,EPSRC,08/06/2016,Agency Staff,Programme Delivery Energy,Brook Street (UK) Ltd,94697351,570.32,GBP
BIS,EPSRC,08/06/2016,T&S UK - Public Transport,Director RB/UR,Unspecified,94712231,8.5,GBP
