Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,42676,T&S UK - Public Transport,Programme Delivery Maths,Unspecified,96163738,4.8,GBP
BIS,EPSRC,42676,T&S UK - Public Transport,Programme Delivery Maths,Unspecified,96163738,11.3,GBP
BIS,EPSRC,42676,T&S UK - Subsistence,Programme Delivery Maths,Unspecified,96163738,4.24,GBP
BIS,EPSRC,42677,SSC Service Charges,PSU IS,Dell Corporation Ltd,95932758,1496.7,GBP
BIS,EPSRC,42677,Meetings & Catering,EPSRC Corporate Services,Banner Business Services Limited,96125802,49.24,GBP
BIS,EPSRC,42677,Printing & Stationery,JRS,PG Events Ltd,96135713,432,GBP
BIS,EPSRC,42677,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,AM Health & Safety Ltd,96141749,360,GBP
BIS,EPSRC,42677,Marketing & PR,Communications and Stakeholder Engagement,LM INFORMATION DELIVERY UK LTD (LM TIETOPALVELUT OY),96146719,80.21,GBP
BIS,EPSRC,42677,Other Staff Benefits,EPSRC Corporate Services,Greenwich Leisure Limited,96149717,60.4,GBP
BIS,EPSRC,42677,Recruitment Costs,EPSRC Corporate Services,Agenda Resource Management Ltd,96161749,151,GBP
BIS,EPSRC,42677,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,Swindon Occupational Medical Services Ltd,96169731,700,GBP
BIS,EPSRC,42677,Marketing & PR,Communications and Stakeholder Engagement,Impact Media Specialists Ltd,96182714,1530,GBP
BIS,EPSRC,42677,Staff Training,EPSRC Corporate Services,UK Shared Business Services Ltd,96189727,1383.08,GBP
BIS,EPSRC,42677,Staff Training,EPSRC Corporate Services,UK Shared Business Services Ltd,96189734,4440.82,GBP
BIS,EPSRC,42677,Consumables,JRS,Stanford Marsh,96194811,104.83,GBP
BIS,EPSRC,42677,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,96210753,7.01,GBP
BIS,EPSRC,42677,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,96210753,8.78,GBP
BIS,EPSRC,42677,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,96210753,9.85,GBP
BIS,EPSRC,42677,T&S UK - Other Charges,Programme Delivery Physical Sciences,Unspecified,96210754,55,GBP
BIS,EPSRC,42677,T&S UK - Mileage,Programme Delivery Engineering,Unspecified,96210755,170.55,GBP
BIS,EPSRC,42677,T&S UK - Parking Tolls Congestion Charges,Programme Delivery Engineering,Unspecified,96210755,14.1,GBP
BIS,EPSRC,42677,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,96210755,10.98,GBP
BIS,EPSRC,42677,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,96210755,12.75,GBP
BIS,EPSRC,42677,T&S UK - Public Transport,Programme Delivery Infrastructure,Unspecified,96210756,20,GBP
BIS,EPSRC,42677,T&S UK - Vehicle Hire,Programme Delivery Infrastructure,Unspecified,96210756,17.62,GBP
BIS,EPSRC,42677,T&S UK - Parking Tolls Congestion Charges,OCR Project,Unspecified,96210757,6.5,GBP
BIS,EPSRC,42677,T&S UK - Parking Tolls Congestion Charges,Programme Delivery Leaders,Unspecified,96210758,16.4,GBP
BIS,EPSRC,42677,T&S UK - Subsistence,Programme Delivery Leaders,Unspecified,96210758,25.35,GBP
BIS,EPSRC,42677,T&S UK - Mileage,Programme Delivery ICT,Unspecified,96210759,81.45,GBP
BIS,EPSRC,42677,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,96210759,10,GBP
BIS,EPSRC,42678,Agency Staff,Communications and Stakeholder Engagement,Brook Street (UK) Ltd,96147846,688.5,GBP
BIS,EPSRC,42678,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,BMI Healthcare Limited,96153713,278.5,GBP
BIS,EPSRC,42678,Computer Software Licences,EPSRC Corporate Services,Research Fish Ltd,96200720,15000,GBP
BIS,EPSRC,42678,Consumables,JRS,Banner Business Services Limited,96222824,547.49,GBP
BIS,EPSRC,42678,Printing & Stationery,JRS,PG Events Ltd,96238714,571.2,GBP
BIS,EPSRC,42678,Hardware/Software Maintenance,JRS,Kennedy Grinding Ltd,96245778,20.4,GBP
BIS,EPSRC,42678,Corporate Events,Programme Delivery ICT,Calder Conference Ltd,96254719,391.99,GBP
BIS,EPSRC,42678,Corporate Events,Programme Delivery ICT,Calder Conference Ltd,96254721,789.01,GBP
BIS,EPSRC,42678,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,96277717,55.8,GBP
BIS,EPSRC,42678,Fees (Including College Members),Programme Delivery ICT,Non Employee Expenses Supplier,96277718,160,GBP
BIS,EPSRC,42678,Other Programme Costs,RCUK-Newton Activity,Non Employee Expenses Supplier,96277719,5607.28,GBP
BIS,EPSRC,42678,Other Programme Costs,RCUK-Newton Activity,Non Employee Expenses Supplier,96277720,400,GBP
BIS,EPSRC,42678,Other Programme Costs,RCUK-Newton Activity,Non Employee Expenses Supplier,96277721,1258.61,GBP
BIS,EPSRC,42678,Other Programme Costs,RCUK-Newton Activity,Non Employee Expenses Supplier,96277722,320,GBP
BIS,EPSRC,42678,Non-staff travel and subsistance,Programme Delivery Manufacturing,Non Employee Expenses Supplier,96277723,138.3,GBP
BIS,EPSRC,42678,Fees (Including College Members),Programme Delivery Manufacturing,Non Employee Expenses Supplier,96277724,160,GBP
BIS,EPSRC,42678,Non-staff travel and subsistance,OSG Operational Projects,Non Employee Expenses Supplier,96277725,190.5,GBP
BIS,EPSRC,42678,Fees (Including College Members),Global Grand Challenge Fund,Non Employee Expenses Supplier,96277726,160,GBP
BIS,EPSRC,42678,Non-staff travel and subsistance,Programme Delivery Maths,Non Employee Expenses Supplier,96277727,225.76,GBP
BIS,EPSRC,42678,Fees (Including College Members),Programme Delivery Maths,Non Employee Expenses Supplier,96277728,160,GBP
BIS,EPSRC,42678,Non-staff travel and subsistance,Programme Delivery Physical Sciences,Non Employee Expenses Supplier,96277729,65.25,GBP
BIS,EPSRC,42678,Fees (Including College Members),Programme Delivery Physical Sciences,Non Employee Expenses Supplier,96277730,160,GBP
BIS,EPSRC,42678,Non-staff travel and subsistance,Programme Delivery Energy,Non Employee Expenses Supplier,96277731,97.65,GBP
BIS,EPSRC,42678,Fees (Including College Members),Programme Delivery Energy,Non Employee Expenses Supplier,96277732,160,GBP
BIS,EPSRC,42678,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,96277733,200.59,GBP
BIS,EPSRC,42678,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,96277734,141.6,GBP
BIS,EPSRC,42678,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,96277735,140.37,GBP
