Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,04/10/2016,T&S UK - Subsistence,Programme Delivery Healthcare,Unspecified,95614884,12.5,GBP
BIS,EPSRC,04/10/2016,T&S UK - Subsistence,Programme Delivery Healthcare,Unspecified,95614884,45.25,GBP
BIS,EPSRC,04/10/2016,Consumables,JRS,Presco UK Ltd,95620717,11.94,GBP
BIS,EPSRC,04/10/2016,Consumables,JRS,Presco UK Ltd,95620717,47.04,GBP
BIS,EPSRC,04/10/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95635820,-152.2,GBP
BIS,EPSRC,05/10/2016,Meetings & Catering,EPSRC Corporate Services,Banner Business Services Limited,95361772,24.62,GBP
BIS,EPSRC,05/10/2016,Meetings & Catering,EPSRC Corporate Services,Banner Business Services Limited,95361772,230.5,GBP
BIS,EPSRC,05/10/2016,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,95361773,9.98,GBP
BIS,EPSRC,05/10/2016,Meetings & Catering,EPSRC Corporate Services,Banner Business Services Limited,95375800,9.04,GBP
BIS,EPSRC,05/10/2016,Meetings & Catering,EPSRC Corporate Services,Banner Business Services Limited,95375800,23.66,GBP
BIS,EPSRC,05/10/2016,Research Grant Expenditure,Programme Delivery Physical Sciences,University of Sheffield,95469723,455952,GBP
BIS,EPSRC,05/10/2016,Staff Training,Programme Delivery Healthcare,Bray Leino Ltd,95483714,5923.02,GBP
BIS,EPSRC,05/10/2016,Advertising & Promotion,JRS,Gemini Print Southern Ltd,95655736,2939,GBP
BIS,EPSRC,05/10/2016,Printing & Stationery,JRS,PG Events Ltd,95657717,189.6,GBP
BIS,EPSRC,05/10/2016,Printing & Stationery,JRS,PG Events Ltd,95657717,690.48,GBP
BIS,EPSRC,05/10/2016,Printing & Stationery,JRS,Williams Lea,95666797,1499.19,GBP
BIS,EPSRC,05/10/2016,Consumables,JRS,DENMAUR INDEPENDENT PAPERS LTD,95674715,181.44,GBP
BIS,EPSRC,05/10/2016,Meetings & Catering,Admin RCUK Strategy Unit,Baxter Storey Ltd,95680730,321.3,GBP
BIS,EPSRC,05/10/2016,Meetings & Catering,EPSRC Corporate Services,Baxter Storey Ltd,95680730,690.3,GBP
BIS,EPSRC,05/10/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95681722,160,GBP
BIS,EPSRC,05/10/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95681724,160,GBP
BIS,EPSRC,05/10/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95681725,160,GBP
BIS,EPSRC,05/10/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95681726,160,GBP
BIS,EPSRC,05/10/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95681728,160,GBP
BIS,EPSRC,05/10/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95681729,160,GBP
