Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,02/08/2016,T&S UK - Vehicle Hire,Admin RCUK Strategy Unit,Enterprise Rent-A-Car UK Ltd,95263593,42.22,GBP
BIS,EPSRC,02/08/2016,T&S UK - Vehicle Hire,Director BI/BR,Enterprise Rent-A-Car UK Ltd,95263593,11.97,GBP
BIS,EPSRC,02/08/2016,T&S UK - Vehicle Hire,Director BI/BR,Enterprise Rent-A-Car UK Ltd,95263593,59.83,GBP
BIS,EPSRC,02/08/2016,T&S UK - Subsistence,Communications and Stakeholder Engagement,Unspecified,95264355,8.39,GBP
BIS,EPSRC,02/08/2016,T&S UK - Subsistence,Communications and Stakeholder Engagement,Unspecified,95264355,9.25,GBP
BIS,EPSRC,02/08/2016,T&S UK - Subsistence,Communications and Stakeholder Engagement,Unspecified,95264355,15.38,GBP
BIS,EPSRC,03/08/2016,T&S UK - Public Transport,Programme Delivery Healthcare,Unspecified,94545263,6.6,GBP
BIS,EPSRC,03/08/2016,T&S UK - Subsistence,Programme Delivery Healthcare,Unspecified,94545263,1.3,GBP
BIS,EPSRC,03/08/2016,Agency Staff,Programme Delivery Energy,Brook Street (UK) Ltd,94545387,563.84,GBP
BIS,EPSRC,03/08/2016,T&S UK - Public Transport,Admin RCUK Strategy Unit,Unspecified,94865372,4.8,GBP
BIS,EPSRC,03/08/2016,T&S UK - Subsistence,Admin RCUK Strategy Unit,Unspecified,94865372,8.99,GBP
BIS,EPSRC,03/08/2016,T&S UK - Subsistence,Admin RCUK Strategy Unit,Unspecified,94865372,15,GBP
BIS,EPSRC,03/08/2016,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,XMA Ltd,95222879,250.12,GBP
BIS,EPSRC,03/08/2016,Hospitality,Programme Delivery Energy,Calder Conference Ltd,95260287,1.2,GBP
BIS,EPSRC,03/08/2016,Hospitality,Programme Delivery Energy,Calder Conference Ltd,95260287,12.9,GBP
BIS,EPSRC,03/08/2016,Hospitality,Programme Delivery Energy,Calder Conference Ltd,95260287,60,GBP
BIS,EPSRC,03/08/2016,Hospitality,Programme Delivery Energy,Calder Conference Ltd,95260287,2520,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Quantum Technology,Non Employee Expenses Supplier,95264495,262.61,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Quantum Technology,Non Employee Expenses Supplier,95264496,65.5,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Admin RCUK Strategy Unit,Non Employee Expenses Supplier,95264497,187.79,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Admin RCUK Strategy Unit,Non Employee Expenses Supplier,95264498,26.1,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,95264499,23.5,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,95264500,286.98,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,95264501,58.4,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95264502,67.91,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95264503,78.8,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Chief Executive,Non Employee Expenses Supplier,95264504,388.65,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Chief Executive,Non Employee Expenses Supplier,95264505,88.7,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264506,168.25,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264507,75.39,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery Manufacturing,Non Employee Expenses Supplier,95264508,147.85,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95264509,402.09,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264510,33.1,GBP
BIS,EPSRC,03/08/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95264512,31.15,GBP
